sample_id,cpu_usage,memory_usage,temperature,vibration,power_consumption,error_rate,uptime_days,needs_maintenance
0,28.606441997132876,67.90300990090412,23.55416253698436,1.4968928948104105,4371.691363566482,0.01815358319690376,90.51518238531841,0
1,39.50489656272104,46.82685965352448,29.834585058683107,1.5292749471408142,4573.477242300076,0.016508961803046462,160.31713016647808,0
2,25.77533402605939,65.95989658588753,29.091528743964368,2.0152723077232526,5021.7322138035,0.003003763612563474,109.1846510388535,0
3,71.6974830773778,78.72103327977817,46.74781419404129,3.7721469931923854,8449.802275756414,0.06661685253317562,33.37373339065428,1
4,99.18784600233644,91.60337743558969,44.59324587607822,5.427911292375705,8831.726353129427,0.08183605490554655,39.602037007173365,1
5,41.1936045896871,53.598075678802545,25.595761919331153,2.1233176544375563,4210.5364835625915,0.015415558402168267,129.71476099823226,0
6,51.165961670243874,44.710291485871586,26.426004520920152,0.7929738741935748,4954.185361332109,0.02033790712356987,64.52616369202883,0
7,54.86447446450741,44.52399719335274,25.57366738136378,0.26197567815689077,4237.015836776803,0.013044927381847156,41.71748172272555,0
8,83.33842319726855,88.47638320198868,48.53337369046037,7.1721770908157065,7323.147643033852,0.08099942030469146,22.620091620364477,1
9,32.47517543524884,53.894773477782664,28.281847696123645,0.394013435610263,4193.662273133262,0.010058764671628268,122.45252760659466,0
10,26.075282460868216,42.55294335587804,29.429021737995942,1.2968139593624302,4533.7764291017265,0.005072975845749976,167.3216831676338,0
11,90.35313923951979,95.07597681191835,42.332424724827604,5.344950278230767,8342.946656689595,0.07807290192252857,24.23085840475981,1
12,56.71141134144507,64.48615275130753,27.0387932373311,0.9864925974738215,4965.958855294102,0.014590391702171902,149.55685454944552,0
13,59.92095792618573,67.33023316145179,28.366290119139627,0.3085408228691054,4905.482874195577,0.013041072969367316,174.8488718698833,0
14,76.12746060468882,76.26868808340329,46.76873196217035,5.574746894922182,8572.391848677213,0.10824729457428817,45.137219041621194,1
15,35.78804898767575,49.07930344834459,25.832983080624565,1.443391856957021,5300.86347400337,0.0032664388655691892,123.11848944022556,0
16,81.96056647556782,75.00472900233169,44.43049629403623,7.682374754140974,7749.817648129272,0.07395689136121261,38.08792412766701,1
17,27.561289219840788,37.888137038027025,22.744703674884473,2.1959448680873743,5457.847343266524,0.0012283478281262985,179.02673565519117,0
18,88.24203056058113,82.29003595019547,45.667019013800385,5.157371913183342,7262.385311779516,0.09394905594164729,17.341769437738247,1
19,41.9021234435164,51.82196888091771,29.14266236402432,0.4898381396557479,4423.015212044058,0.009886618880465166,14.567819492754065,0
20,52.40726272148719,54.24627469626105,29.32284566880678,1.289743136412412,4791.470328418933,0.013844721451656012,161.41441549244627,0
21,38.4717996249791,56.55954331039244,25.852158409958136,0.9443004580516361,4821.684767501482,0.012574633785981424,76.58766988231362,0
22,59.40756635541747,66.34425277803416,27.13440617764367,0.7125799473696612,4229.8270128694985,0.011757040819950573,138.2174597115884,0
23,24.109901915455442,64.55063622907002,23.7715622226262,1.876886181546795,5481.107108483266,0.020662520455187138,196.28511215549597,0
24,43.17107731268598,40.89938909093543,21.67505149209227,0.8726215418614294,5010.4097392414205,0.0041101438184173635,118.88738640290654,0
25,58.04518584971167,66.80749573322879,29.728111976081628,1.8839429783293804,4859.568906154117,0.019045460318796396,97.9643444730109,0
