timestamp,total_requests,active_connections,cpu_utilization,memory_utilization
"2025-10-07T12:01:43.913Z",29194,1535,34.02334020531217,25.23670676835509
"2025-10-07T13:01:43.913Z",30350,1476,32.076455913613096,25.565513000671466
"2025-10-07T14:01:43.913Z",29319,1548,29.427792912385133,21.933009287072718
"2025-10-07T15:01:43.913Z",30264,1521,29.774325193402706,26.596762347112055
"2025-10-07T16:01:43.913Z",29891,1447,29.89878440194309,19.8909253358149
"2025-10-07T17:01:43.913Z",30691,1476,34.755249322317404,28.114149143071074
"2025-10-07T18:01:43.913Z",29953,1503,29.59425037056792,28.781677773820157
"2025-10-07T19:01:43.913Z",29722,1480,30.619709141754313,20.058165969867567
"2025-10-07T20:01:43.913Z",30354,1435,33.28113833326348,26.01479709351235
"2025-10-07T21:01:43.913Z",30863,1550,27.89458560103905,26.117737811657832
"2025-10-07T22:01:43.913Z",30909,1458,28.05533402145198,19.65590630123524
"2025-10-07T23:01:43.913Z",30966,1503,33.99331166595247,25.33961293624953
"2025-10-08T00:01:43.913Z",30804,1527,30.466305977688346,25.674134145075058
"2025-10-08T01:01:43.913Z",29035,1516,25.57792737267779,21.778912620257803
"2025-10-08T02:01:43.913Z",80292,4008,81.25727124107053,66.02913832726689
"2025-10-08T03:01:43.913Z",80782,4014,75.59159931319539,64.90912704584127
"2025-10-08T04:01:43.913Z",80552,3964,82.81515045551554,64.16268744164452
"2025-10-08T05:01:43.913Z",80409,3969,80.66346703923257,63.37559929534657
"2025-10-08T06:01:43.913Z",79167,3933,75.32315995541957,61.79501365990433
"2025-10-08T07:01:43.913Z",80607,4095,77.05954553197105,65.92810475662819
"2025-10-08T08:01:43.913Z",79794,4093,83.79885369641323,59.17452606402395
"2025-10-08T09:01:43.913Z",80592,3957,75.80057929120352,68.32696067142965
"2025-10-08T10:01:43.913Z",79719,3904,82.97738860449968,68.28626198161724
"2025-10-08T11:01:43.913Z",80840,4066,77.863085825998,68.7760193358984
"2025-10-08T12:01:43.913Z",30864,1452,29.893188254621087,25.49216127108564
"2025-10-08T13:01:43.913Z",29357,1569,27.954582860821617,20.622728976657196
"2025-10-08T14:01:43.913Z",120851,6014,100,98.79246807483555
"2025-10-08T15:01:43.913Z",29677,1590,31.432462936416,21.399513025610197
"2025-10-08T16:01:43.913Z",29096,1524,29.33681009688083,20.618851246274843
"2025-10-08T17:01:43.913Z",30389,1461,34.15186176960284,20.9240839287933
